trait_name,tissue,category,other_tags,nrow,description,TRY name,TRY number,TRY notes,Top_Formal_name,Top_identifier,Top_link,type,units
leaf_S_per_dry_mass,leaf,nutrient,,107,Leaf sulphur (S) content per unit leaf dry mass,Leaf sulfur (S) content per leaf dry mass,262,,leaf sulfur content per leaf dry mass,TOP466,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_sulfur_content_per_leaf_dry_mass,numeric,mg/kg
leaf_shape,leaf,morphology,,109,Leaf shape,Leaf shape,154,,,,,categorical,
leaf_soluable_starch_per_mass,leaf,nutrient,,,,Leaf starch content per leaf dry mass,505,,,,,,
leaf_soluable_sugars_per_mass,leaf,nutrient,,,,Leaf sugar content per leaf dry mass,506,,,,,,
leaf_specific_conductivity,leaf,physiology,,110,The ratio of hydraulic conductance of a segment to leaf area,Leaf area-specific conductivity (leaf specific conductivity),928,,,,,numeric,10^4 x kg/m/s/MPa
leaf_thickness,leaf,morphology,,112,Thickness of the leaf lamina,Leaf thickness,46,,leaf thickness,TOP20,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_thickness,numeric,mm
leaf_total_non-structural_carbohydrates_per_area,leaf,nutrient,,,,NA; same as starch?,,,,,,,
leaf_total_non-structural_carbohydrates_per_mass,leaf,nutrient,,,,NA; same as starch?,,,,,,,
leaf_transmission,leaf,physiology,,,,Leaf light transmittance,535,,,,,,
leaf_transpiration_at_Amax,leaf,physiology,,115,Rate of water loss from leaf during Amax measurement,Leaf photosynthetic A/Ci curve: transpiration rate per leaf area,3367,,,,,numeric,mmol/m2/s
leaf_transpiration_at_Asat,leaf,physiology,,116,Rate of water loss from leaf during Asat measurement,Leaf transpiration rate per leaf area,111,,,,,numeric,mmol/m2/s
leaf_turgor_loss_point,leaf,physiology,,117,Water potential at which a leaf loses turgor,Leaf water & osmotic potential: leaf osmotic potential at turgor loss,189,,,,,numeric,neg_MPa
leaf_type,leaf,morphology,,118,Broad definitions of leaf type,Leaf type,43,,,,,categorical,
leaf_water_content_per_area,leaf,allocation,,119,The ratio of the mass of water in a leaf relative to its surface area,,,,,,,numeric,g/m2
leaf_water_content_per_dry_mass,leaf,allocation,,,,Leaf water content per leaf dry mass (not saturated),14,,,,,,
leaf_water_content_per_fresh_mass,leaf,allocation,,,,Leaf water content per leaf dry mass (at saturation),3122,"similar, not identical",,,,,
leaf_water_content_per_saturated_mass,leaf,allocation,,,,Leaf water content per leaf dry mass (at saturation),3122,,,,,,
leaf_width,leaf,morphology,,121,The longest width axis of a leaf; orthogonal to its length,Leaf width,145,,leaf width,TOP17,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_width,numeric,mm
leaf_work_to_punch,leaf,morphology,,,,"Wood mechanical property: flexual stiffness, elasticity, rupture",1226,"similar, not identical",,,,,
leaf_work_to_punch_adjusted,leaf,morphology,,,,"Wood mechanical property: flexual stiffness, elasticity, rupture",1226,"similar, not identical",,,,,
leaf_work_to_shear,leaf,morphology,,,,"Wood mechanical property: flexual stiffness, elasticity, rupture",1226,"similar, not identical",,,,,
leaf_work_to_shear_adjusted,leaf,morphology,,,,"Wood mechanical property: flexual stiffness, elasticity, rupture",1226,"similar, not identical",,,,,
leaf_xylem_delta15N,leaf,physiology,isotope,,,,,,,,,,
leaf_Zn_per_dry_mass,leaf,nutrient,,122,Leaf zinc (Zn) content per unit leaf dry mass,Leaf zinc (Zn) content per leaf dry mass,268,,leaf zinc content per leaf dry mass,TOP467,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_zinc_content_per_leaf_dry_mass,numeric,mg/kg
life_form,whole plant,life history,,123,Raunkiaer classification; Categorical classification of plants according to shoot-apex or bud protection,Plant life form (Raunkiaer life form),343,,,,,categorical,
life_history,whole plant,life history,,124,Categorical description of plant's life history,Plant lifespan (longevity),59,,,,,categorical,
lifespan,whole plant,life history,,125,"Broad categories of plant life span, in years",Plant lifespan (longevity),12,,whole plant life span,TOP255,http://top-thesaurus.org/annotationInfo?viz=1&trait=Plant%20life%20span,categorical,
lower_cuticle_thickness,leaf,morphology,cellular_scale,,,,,,,,,,
lower_hypodermis_thickness,leaf,morphology,cellular_scale,,,Leaf hypodermis thickness,806,,,,,,
lower_palisade_cell_thickness,leaf,morphology,cellular_scale,,,,,,,,,,
modified_NDVI,whole plant,physiology,,126,"modified normalized difference vegetation index (modified NDVI), based on Landsat data",,,,,,,numeric,dimensionless
modulus_of_elasticity_bark,bark,physiology,,,,,,,,,,,
modulus_of_elasticity_stem,stem,physiology,,,,,,,,,,,
modulus_of_elasticity_xylem,stem,physiology,,,,,,,,,,,
modulus_of_rupture,stem,physiology,,128,A measure of the force required to rupture xylem vessel,"Wood mechanical property: flexual stiffness, elasticity, rupture",1226,"similar, not identical",,,,numeric,Pa
N_to_P_ratio,leaf,nutrient,,130,Ratio of N to P dry mass,Leaf nitrogen/phosphorus (N/P) ratio,56,,,,,numeric,dimensionless
nitrogen_fixing,whole plant,physiology,,129,Binary variable describing whether or not a plant hosts a nitrogen-fixing bacteria,Plant nitrogen(N) fixation capacity,8,,,,,categorical,
osmotic_potential,leaf,physiology,,131,Potential for water to move across a semi-permeable membrane based on solute concentration,Leaf water & osmotic potential: leaf water potential,983,,,,,numeric,MPa
palisade_cell_length,leaf,morphology,cellular_scale,132,Length of individual palisade cells,,,,,,,numeric,um
palisade_cell_width,leaf,morphology,cellular_scale,133,Width of individual palisade cells,,,,,,,numeric,um
palisade_layer_number,leaf,morphology,cellular_scale,134,Number of layers of palisade cells,,,,,,,numeric,count
parasitic,whole plant,life history,,,,,,,,,,,
pendulous_leaves,leaf,morphology,,,,"Leaf angle (inclination, orientation)",3,"similar, not identical",,,,,
photosynthetic_bark,bark,physiology,,,,,,,,,,,
photosynthetic_pathway,whole plant,physiology,,135,Type of photosynthetic pathway displayed by plants,Leaf photosynthesis pathway,22,,,,,categorical,
photosynthetic_rate_per_area_ambient,leaf,physiology,,,,Leaf photosynthesis rate per leaf area,53,,,,,,
photosynthetic_rate_per_area_maximum,leaf,physiology,,137,"Rate at which a plant consumes carbon dioxide through photosynthesis at saturating light conditions but ambient CO2 conditions, normalised to leaf area",Leaf photosynthesis rate per leaf area,53,,,,,numeric,umolCO2/m2/s
photosynthetic_rate_per_area_saturated,leaf,physiology,,138,"Rate at which a plant consumes carbon dioxide through photosynthesis at saturating light and CO2 conditions, normalised to leaf area",Leaf photosynthesis rate per leaf area,53,,,,,numeric,umolCO2/m2/s
photosynthetic_rate_per_dry_mass_maximum,leaf,physiology,,140,"Maximum rate at which a plant consumes carbon dioxide through photosynthesis at saturating light conditions but ambient CO2 conditions, normalised to leaf dry mass",Leaf photosynthesis rate per leaf dry mass,40,,,,,numeric,umolCO2/g/s
photosynthetic_rate_per_dry_mass_saturated,leaf,physiology,,141,"Maximum rate at which a plant consumes carbon dioxide through photosynthesis at saturating light and CO2 conditions, normalised to leaf dry mass",Leaf photosynthesis rate per leaf dry mass,40,,,,,numeric,umolCO2/g/s
physical_defence,leaf,morphology,,,,"Shoot emergences (pubescence, hairs, spines, thorns)",1255 & 1256 & 677),"similar, not identical",,,,,
plant_growth_form,whole plant,life history,,142,"Different growth forms displayed by plants, including both standard plant growth form descriptors (tree, shrub, etc.) and specific plant characteristics (i.e. patristic)",Plant growth form,42,,whole plant growth form,TOP136,http://top-thesaurus.org/annotationInfo?viz=1&trait=Plant%20growth%20form,categorical,
plant_height,stem,morphology,,143,Vegetative plant height,Plant height vegetative,3106,,whole plant height vegetative,TOP69,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Plant_height_vegetative,numeric,m
plant_type_by_resource_use,whole plant,life history,,,,Species tolerance to salt; Species tolerance to drought,1254; 595,other traits as well,,,,,
plant_width,whole plant,allocation,,144,The width of the plant canopy,Crown (canopy) width,325,,,,,numeric,m
pollination_syndrome,reproductive,life history,,,,Pollination syndrome,29,,,,,,
pollination_system,reproductive,life history,,,,Pollination syndrome,29,"similar, not identical",,,,,
regen_strategy,reproductive,life history,fire_response,146,Different regeneration strategies displayed by plants. Trait values include both generic terms (i.e. vegetative) and quite specific ones (i.e. wood rootstock),Plant vegetative reproduction: clonal growth organ; Plant vegetative regeneration capacity,356; 344,,,,,categorical,
resorption_leaf_N,leaf,nutrient,,147,Nitrogen resorption from leaves,,,,,,,numeric,dimensionless
resorption_leaf_P,leaf,nutrient,,148,Phosphorus resorption from leaves,,,,,,,numeric,dimensionless
resprouting_proportion_individuals,whole plant,life history,fire_response,,,Plant resprouting capacity,819,,,,,,
resprouting_strength,whole plant,life history,fire_response,,,Plant resprouting capacity,819,,,,,,
root_C_per_dry_mass,root,nutrient,,,,Root carbon (C) content per root dry mass,84,,,,,,
root_delta13C,root,physiology,isotope,,,Root carbon (C) isotope signature (delta 13C),90,,,,,,
root_delta15N,root,physiology,isotope,,,Root nitrogen (N) isotope signature (delta 15N),81,,,,,,
root_distribution_coefficient,root,allocation,,,,Root evenness of dry mass vertical distribution,3033,,,,,,
root_dry_matter_content,root,allocation,,150,Root dry mass per unit root fresh mass,Root dry mass per root fresh mass (root dry matter content; RDMC),785,,,,,numeric,mg/g
root_fine_root_coarse_root_ratio,root,allocation,,,,Fine root dry mass fraction that is taproot (taproot dry mass per fine root dry mass),2011,inverse,,,,,
root_mass_fraction,root,allocation,,151,Fraction of plant dry mass comprised of root material,Plant biomass and allometry: Root mass fraction (fraction of root dry mass per whole plant dry mass),470,,,,,numeric,mg/mg
root_morphology,root,morphology,,152,"Categorical root descriptions sensu Cannon 1949, A Tentative Classification of Root Systems, Ecology, doi.org/10.2307/1932458",,,,,,,categorical,
root_N_per_dry_mass,root,nutrient,,,,Root nitrogen (N) content per root dry mass,80,,,,,,
root_shoot_ratio,root,allocation,,153,Ratio of root mass to shoot mass,Root/shoot ratio,9,,,,,numeric,mg/mg
root_soluable_starch_per_mass,root,nutrient,,,,Root starch content per dry mass,3147,,,,,,
root_soluable_sugars_per_mass,root,nutrient,,,,Root sugar content per root dry mass,662,,,,,,
root_structure,root,morphology,,154,Specific specialized types of root structures and root symbioses,Mycorrhiza type,7,,,,,categorical,
root_wood_density,root,morphology,,155,"For root wood, the ratio of mass to volume, yielding density",Root tissue density (root dry mass per root volume),82,,,,,numeric,mg/mm3
root_xylem_delta15N,root,physiology,isotope,,,,,,,,,,
salt_tolerance,whole plant,physiology,,,,Species tolerance to salt,1254,,,,,,
sapwood_specific_conductivity,stem,physiology,,156,"Describes the flow rate of water (kg/s) along a stem for a given drop in pressure (1/MPa), extremenormalised to the length of the segment (1/m)",Wood (sapwood) specific conductivity (stem specific conductivity),,,,,,numeric,kg/m/s/MPa
seed_breadth,reproductive,morphology,,157,The shorter width axis of a seed; orthogonal to its length,,,,,,,numeric,mm
seed_Ca_concentration,reproductive,nutrient,,,,,,,,,,,
seed_K_concentration,reproductive,nutrient,,,,,,,,,,,
seed_length,reproductive,morphology,,159,Longest seed dimension,Seed length,27,,seed length,TOP91,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Seed_length,numeric,mm
seed_mass,reproductive,morphology,,160,Seed carbon dry mass,Seed dry mass,26,,seed mass,TOP103,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Seed_mass,numeric,mg
seed_mass_reserve,reproductive,morphology,,161,Energy reserves stored in seeds that are mobilized at the time of germination; on a carbon dry mass basis,,,,,,,numeric,mg
seed_Mg_concentration,reproductive,nutrient,,,,,,,,,,,
seed_N_concentration,reproductive,nutrient,,,,Seed nitrogen (N) content per dry mass (or diaspore),2945,,,,,,
seed_oil_content,reproductive,nutrient,,162,"Seed oil content as a fraction of total seed weight, usually on a dry weight basis",Seed oil content per seed mass,96,,,,,numeric,g/g
seed_P_concentration,reproductive,nutrient,,163,Seed phosphorus concentration on a weight basis,Seed phosphorus (P) content per dry mass (or diaspore),3000,,seed phosphorus content per seed dry mass,TOP578,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Seed_phosphorus_content_per_seed_dry_mass,numeric,mg/g
seed_protein_content,reproductive,nutrient,,164,Seed protein content as a fraction of total seed weight,Seed protein content per seed mass,97,,,,,numeric,g/g
seed_S_concentration,reproductive,nutrient,,,,,,,,,,,
seed_shape,reproductive,morphology,,165,"Possible seed shapes. Note that some terms currently used refer to 2-dimensional shapes, not 3-dimensional shapes.",Seed shape,349,,,,,categorical,
seed_storage_location,reproductive,life history,fire_response,166,Location where seeds are stored at maturity,Seedbank type,159,,,,,categorical,
seed_texture,reproductive,morphology,,167,The texture of a seed,,,,,,,categorical,
seed_viability,reproductive,life history,,168,Proportion of seeds that are viable,Seed viability,1109,,,,,numeric,n/n
seed_volume,reproductive,morphology,,169,Volume of a seed,Seed volume,3042,,,,,numeric,mm3
seed_width,reproductive,morphology,,170,The longest width dimension of a seed; orthogonal to the length,Seed width,239,,seed width,TOP95,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Seed_width,numeric,mm
seedling_first_leaf,leaf,morphology,,,,,,,,,,,
seedling_first_node,leaf,morphology,,,,,,,,,,,
senesced_leaf_Ca_per_dry_mass,leaf,nutrient,,171,Senesced leaf calcium (Ca) content per unit leaf dry mass,Litter (leaf) calcium (Ca) content per leaf litter dry mass,943,,,,,numeric,mg/g
senesced_leaf_Cu_per_dry_mass,leaf,nutrient,,172,Senesced leaf copper (Cu) content per unit leaf dry mass,Litter (leaf) copper (Cu) content per leaf litter dry mass,947,,,,,numeric,mg/kg
senesced_leaf_Fe_per_dry_mass,leaf,nutrient,,173,Senesced leaf iron (Fe) content per unit leaf dry mass,Litter (leaf) iron (Fe) content per leaf litter dry mass,950,,,,,numeric,mg/kg
senesced_leaf_K_per_dry_mass,leaf,nutrient,,174,Senesced leaf potassium (K) content per unit leaf dry mass,Litter (leaf) potassium (K) content per leaf litter dry mass,958,,,,,numeric,mg/g
senesced_leaf_Mg_per_dry_mass,leaf,nutrient,,175,Senesced leaf magnesium (Mg) content per unit leaf dry mass,Litter (leaf) magnesium (Mg) content per leaf litter dry mass,952,,,,,numeric,mg/g
senesced_leaf_Mn_per_dry_mass,leaf,nutrient,,176,Senesced leaf manganese (Mn) content per unit leaf dry mass,Litter (leaf) manganese (Mn) content per leaf litter dry mass,953,,,,,numeric,mg/kg
senesced_leaf_Mo_per_dry_mass,leaf,nutrient,,177,Senesced leaf molybdenum (Mo) content per unit leaf dry mass,,,,,,,numeric,mg/kg
senesced_leaf_N_per_dry_mass,leaf,nutrient,,178,Senesced leaf nitrogen (N) content per unit leaf dry mass,Litter (leaf) nitrogen (N) content per leaf litter dry mass,954,,,,,numeric,mg/g
senesced_leaf_P_per_dry_mass,leaf,nutrient,,181,Senesced leaf phosphorus (P) content per unit leaf dry mass,Litter (leaf) phosphorus (P) content per leaf litter dry mass,957,,,,,numeric,mg/g
senesced_leaf_S_per_dry_mass,leaf,nutrient,,182,Senesced leaf sulphur (S) content per unit leaf dry mass,Litter (leaf) sulfur (S) content per leaf litter dry mass,961,,,,,numeric,mg/kg
senesced_leaf_Zn_per_dry_mass,leaf,nutrient,,183,Senesced leaf zinc (Zn) content per unit leaf dry mass,Litter (leaf) zinc (Zn) content per leaf litter dry mass,962,,,,,numeric,mg/kg
serotiny,reproductive,life history,fire_response,184,"When a fruit or cone only releases its seeds following an environmental trigger, often fire",Seedbank type,159,"similar, not identical",,,,categorical,
sex_type,reproductive,life history,,,,"Flower sexual syndrome (dichogamy, cleistogamy, dioecious, monoecious)",915,,,,,,
soil_salinity_tolerance,whole plant,physiology,,185,"Maximum salinity tolerated by a species, reported as the conductivitiy of the soil",Species tolerance to salt,1254,,,,,numeric,dS/m
soil_seedbank,reproductive,life history,fire_response,,,Seedbank type,159,"similar, not identical",,,,,
soluable_protein_per_area,leaf,nutrient,,186,Mass of soluble protein per leaf area,,,,,,,numeric,g/m2
soluable_starch_per_area,leaf,nutrient,,,,,,,,,,,
soluable_sugars_per_area,leaf,nutrient,,188,Mass of soluble sugars per leaf area,,,,,,,numeric,g/m2
specific_leaf_area,leaf,allocation,,189,Leaf area per unit leaf dry mass; SLA,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu",3117,,leaf area per leaf dry mass,TOP50,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Specific_leaf_area,numeric,mm2/mg
specific_root_area,root,allocation,,190,Root area per unit root dry mass,Root surface area per root dry mass (specific root area),1089,,,,,numeric,mm2/mg
specific_root_length,root,allocation,,191,Root length per unit root dry mass; SRL,"Root length per root dry mass (specific root length, SRL)",1080,,root length per root dry mass,TOP935,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Specific_root_length_trait,numeric,m/g
specific_taproot_length,root,allocation,,,,"Coarse root length per coarse root dry mass (specific coarse root length, SRL)",1550,"similar, not identical",,,,,
spinescence,whole plant,morphology,,,,"Leaf emergences (pubescence, pruinescence, hairs, spines, thorns)",677,,,,,,
spongy_mesophyll_thickness,leaf,morphology,cellular_scale,,,Leaf mesophyll spongiophyll thickness,805,,,,,,
sprout_depth,root,life history,fire_response,4,Depth of resprouting shoots,Budbank height distribution,153,"similar, not identical",,,,numeric,mm
starch_per_area,leaf,nutrient,,192,Mass of starch(typo in Austraits) per leaf area,,,,,,,numeric,g/m2
stem_C_per_dry_mass,stem,nutrient,,193,Stem carbon (C) content per unit stem dry mass,Stem carbon (C) content per stem dry mass,407,,stem carbon content per stem dry mass,TOP491,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Stem_carbon_content_per_stem_dry_mass,numeric,mg/g
stem_count_categorical,stem,allocation,,194,"Number of stems present, expressed in groups, where categories were 1=1; 2-3=2; 4-10=3; 11-30=4; and >30=5. Used by Peter Vesk.",Plant biomass and allometry: Shoots per plant,1034,"similar, not identical",,,,numeric,count
stem_dry_matter_content,stem,allocation,,197,Stem dry mass per unit stem fresh mass,"Stem dry mass per stem fresh mass (stem dry matter content, StDMC)",1181,,,,,numeric,mg/g
stem_hydraulic_conductivity,stem,physiology,,,,Branch hydraulic conductance,3392,,,,,,
stem_mass_fraction,stem,allocation,,,,Plant biomass and allometry: Stem dry mass per plant dry mass per plant,136,,,,,,
stem_N_per_dry_mass,stem,nutrient,,198,Stem carbon (N) content per unit stem dry mass,Stem nitrogen (N) content per stem dry mass,406,,stem nitrogen content per stem dry mass,TOP501,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Stem_nitrogen_content_per_stem_dry_mass,numeric,mg/g
stem_respiration_per_dry_mass,stem,physiology,,,,Stem respiration rate per stem dry mass,519,,,,,,
stem_soluable_starch_per_mass,stem,nutrient,,,,,,,,,,,
stem_soluable_sugars_per_mass,stem,nutrient,,,,,,,,,,,
stem_water_content_per_saturated_mass,stem,allocation,,,,Wood (sapwood) water content,1097,"similar, not identical",,,,,
stem_water_delta18O,stem,physiology,isotope,,,,,,,,,,
stomatal_conductance_per_area_ambient,leaf,physiology,,,,Stomata conductance per leaf area,45,,,,,,
stomatal_conductance_per_area_at_Amax,leaf,physiology,,201,"Rate of water loss through stomata, per unit leaf area under saturated light conditions",Stomata conductance per leaf area,45,,,,,numeric,umolH2O/m2/s
stomatal_conductance_per_area_at_Asat,leaf,physiology,,202,"Rate of water loss through stomata, per unit leaf area under saturated light and CO2 conditions",Stomata conductance per leaf area,45,,,,,numeric,umolH2O/m2/s
stomatal_density_abaxial,leaf,morphology,cellular_scale,,,Stomata distribution to ab- and adaxial leaf surfaces,781,,,,,,
stomatal_density_adaxial,leaf,morphology,cellular_scale,,,Stomata distribution to ab- and adaxial leaf surfaces,781,,,,,,
stomatal_density_average,leaf,morphology,cellular_scale,,,Stomata density,63,,,,,,
support_fraction,whole plant,allocation,,,,"Plant biomass and allometry: Supportive structure (stem, twig, leaf petiole, leaf sheeth) dry mass p",3059,,,,,,
tap_root,root,morphology,,205,Binary variable describing whether or not a plant has a tap root present,,,,,,,categorical,
thickest_root_diameter,root,allocation,,206,Diameter of the thickest root,Root diameter,83,,,,,numeric,mm
twig_area,stem,allocation,,,,,,,,,,,
twig_length,stem,allocation,,,,Twig length,1202,,,,,,
upper_cuticle_thickness,leaf,morphology,cellular_scale,,,,,,,,,,
upper_hypodermis_thickness,leaf,morphology,cellular_scale,,,Leaf hypodermis thickness,806,,,,,,
upper_palisade_cell_thickness,leaf,morphology,cellular_scale,,,,,,,,,,
Vcmax_per_area,leaf,physiology,,,,Leaf photosynthesis carboxylation capacity (Vcmax) per leaf area (Farquhar model),186,,,,,,
vegetative_regeneration,whole plant,life history,fire_response,,,Plant vegetative regeneration capacity,344,,,,,,
vein_angle_secondary,leaf,morphology,,,,,,,,,,,
vein_density,leaf,morphology,,,,Leaf vein density,740,,,,,,
vessel_density,stem,morphology,cellular_scale,,,Wood vessel density; Branch vessel density,1237; 3390,,,,,,
vessel_diameter,stem,morphology,cellular_scale,,,Wood vessel diameter; Branch vessel diameter,1238; 3391,,,,,,
vessel_diameter_hydraulic,stem,morphology,cellular_scale,,,,,,,,,,
vessel_lumen_fraction,stem,morphology,cellular_scale,,,Stem conduit lumen cross-sectional area (vessels and tracheids) per stem sapwood cross-sectional are,172,,,,,,
vessel_non_lumen_fraction,stem,morphology,cellular_scale,,,Wood (sapwood) cross-sectional fraction of Vessel (conduit) area,3018,,,,,,
vessel_wall_fraction,stem,morphology,cellular_scale,,,,,,,,,,
vine_climbing_mechanism,whole plant,morphology,,,,,,,,,,,
water_band_index,leaf,physiology,,,"Water band index, the ratio of the reflectance at 970 nm / 900 nm, recorded from the spectro-radiometer.",,,,,,,,
water_potential_midday,leaf,physiology,,209,A plant's water potential during the heat of the day,,,,,,,numeric,MPa
water_potential_predawn,leaf,physiology,,210,A plant's water potential just before sunrise,,,,,,,numeric,MPa
water_use_efficiency_integrated,leaf,physiology,,,,,,,,,,,
water_use_efficiency_intrinsic,leaf,physiology,,,,Leaf photosynthesis rate per stomatal conductance,3128,,,,,,
water_use_efficiency_photosynthetic,leaf,physiology,,,,Leaf photosynthesis rate per leaf transpiration (photosynthetic water use effinciency: WUE),134,,,,,,
wood_axial_parenchyma_fraction,stem,morphology,cellular_scale,,,Wood (sapwood) cross-sectional fraction of axial parenchyma area,3021,,,,,,
wood_C_per_dry_mass,stem,nutrient,,,,Stem carbon (C) content per stem dry mass,407,,,,,,
wood_Ca_per_dry_mass,stem,nutrient,,,,Stem calcium (Ca) content per stem dry mass,623,,,,,,
wood_conduit_fraction,stem,morphology,cellular_scale,,,Wood (sapwood) cross-sectional fraction of Vessel (conduit) area,3018,,,,,,
wood_delta13C,stem,physiology,isotope,,,Wood carbon (C) isotope signature (delta 13C),1213,,,,,,
wood_delta15N,stem,physiology,isotope,,,Wood nitrogen (N) isotope signature (delta 15N),1230,,,,,,
wood_density,stem,morphology,,213,Stem dry mass per unit stem fresh volume (stem specific density or SSD or wood density),Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume),4,,stem wood density,TOP284,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Wood_density,numeric,mg/mm3
wood_fibre_fraction,stem,morphology,cellular_scale,,,Wood (sapwood) cross-sectional fraction of fibre area,3019,,,,,,
wood_K_per_dry_mass,stem,nutrient,,,,Stem potassium (K) content per stem dry mass,628,,,,,,
wood_Mg_per_dry_mass,stem,nutrient,,,,Stem magnesium (Mg) content per stem dry mass,624,,,,,,
wood_N_per_dry_mass,stem,nutrient,,,,Wood nitrogen (N) content per wood dry mass,1229,,,,,,
wood_Na_per_dry_mass,stem,nutrient,,,,Stem phosphorus (P) content per stem dry mass,616,,,,,,
wood_P_per_dry_mass,stem,nutrient,,,,Stem phosphorus (P) content per stem dry mass,616,,,,,,
wood_ray_fraction,stem,morphology,cellular_scale,,,Wood (sapwood) cross-sectional fraction of wod ray area,3020,,,,,,
wood_tracheid_fraction,stem,morphology,cellular_scale,,,,,,,,,,
woodiness,stem,morphology,,214,A plant's degree of lignification in stems,Plant woodiness,38,,whole plant woodiness,TOP706,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Woodiness,categorical,
competitive_stratum,whole plant,life history,,,,,,,,,,,
flood_regime_classification,whole plant,life history,,,,,,,,,,,
guard_cell_length,leaf,morphology,,,,,,,,,,,
hydraulic_safety_margin_50,stem,physiology,,,,,,,,,,,
leaf_transpiration,leaf,physiology,,,,,,,,,,,
leaf_work_to_tear,leaf,physiology,,,,,,,,,,,
leaf_work_to_tear_adjusted,leaf,physiology,,,,,,,,,,,
ploidy,reproductive,life history,,,,,,,,,,,
stomatal_distribution,leaf,morphology,,,,,,,,,,,
time_from_fire_to_fruit,whole plant,life history,,,,,,,,,,,
vessel_density_leaves,leaf,morphology,,,,,,,,,,,
vessel_diameter_leaves,leaf,morphology,,,,,,,,,,,
water_potential_50percent_lost_conductivity,stem,physiology,,,,,,,,,,,
water_potential_88percent_lost_conductivity,stem,physiology,,,,,,,,,,,